corpus_index,feed_id,provider,country,url,download_status,zip_bytes,sha256,analyzer_state,analyzer_exit,analyzer_notices,analyzer_wall_s,analyzer_rss_kb,md_state,md_exit,md_notices,md_groups,md_wall_s,md_rss_kb,md_validation_s
53,jbda-hachikanbus-hachimanbus,八幡観光バス,JP,https://files.mobilitydatabase.org/jbda-hachikanbus-hachimanbus/latest.zip,ok,35996,67dc5be730d925cc4cd634b6bf9db5a62aa8faf37f68bbb921acdbe05106826b,completed,1,116,0.01,12640,completed,0,2600,6,3.7,371496,0.311713187
54,jbda-hachinohe-hachinohe-citybus,八戸市交通部,JP,https://files.mobilitydatabase.org/jbda-hachinohe-hachinohe-citybus/latest.zip,ok,1288170,c857c94bba94d2c80d0ac28f4bf94eac936a03ef9cd307c54d3e88a9720500ab,completed,1,2912,0.98,314592,completed,0,130510,9,9.79,1519120,2.535267955
55,jbda-hachinohecity-hachinohe-nango,八戸市,JP,https://files.mobilitydatabase.org/jbda-hachinohecity-hachinohe-nango/latest.zip,ok,296705,3ea3c9c4d040707504a77b39f46583ca06f2240b3775c56e5a64ed059b14fcf8,completed,1,90,0.03,11852,completed,0,378,5,5.3,325876,0.699247579
56,jbda-hakubavalley-bus-hakubavalley-nagano-jp,HAKUBAVALLEY事務局,JP,https://files.mobilitydatabase.org/jbda-hakubavalley-bus-hakubavalley-nagano-jp/latest.zip,ok,80228,04b2d27660cdad60fd230a14082f0a6c66c180adf8fe97493aa2a69408955a57,completed,1,209,0.02,9976,completed,0,1894,9,5.64,348244,0.656548079
57,jbda-hakusancity-hakusan_bus_meguru,白山市,JP,https://files.mobilitydatabase.org/jbda-hakusancity-hakusan_bus_meguru/latest.zip,ok,652256,ea1a0108c4a7f24215aa1b3811a267d85abf9777a356b8c7b3ff857edbcae740,completed,1,433,0.12,31300,completed,0,17569,3,4.45,452056,1.03467351
58,jbda-hamabus-iwata_seikatsubus,浜松バス株式会社,JP,https://files.mobilitydatabase.org/jbda-hamabus-iwata_seikatsubus/latest.zip,ok,40726,0212c5b11af07ec1bbe44205a9fa77917af115acada047f309450c3764f6c238,completed,1,97,0.01,10564,completed,0,1198,2,6.21,336648,0.63842217
59,jbda-hanamakicity-hanamaki,花巻市,JP,https://files.mobilitydatabase.org/jbda-hanamakicity-hanamaki/latest.zip,ok,49728,45519bd07474be15f5bad5e65f1b5c99a86a6878774b245826a0c9222cd7534b,completed,1,153,0.01,13112,completed,0,2141,6,4.16,314016,0.397371665
60,jbda-hannocity-odekakemuma-haraichiba,飯能市,JP,https://files.mobilitydatabase.org/jbda-hannocity-odekakemuma-haraichiba/latest.zip,ok,31339,f92cf37e1f0a50e5fd5372041e328a3ab383079277526b5325e50fd62d8cec09,completed,1,51,0.01,9064,completed,0,709,6,3.92,325872,0.311079634
61,jbda-hannocity-odekakemuma-minamikoma,飯能市,JP,https://files.mobilitydatabase.org/jbda-hannocity-odekakemuma-minamikoma/latest.zip,ok,33585,9977c312e9fa97b1ff9856fb7f3a4ae28ff2e23897de4858f6a929781268f50c,completed,1,50,0.01,7984,completed,0,425,6,6.2,330524,0.581915487
62,jbda-hannocity-odekakemuma-seimei-kaji,飯能市,JP,https://files.mobilitydatabase.org/jbda-hannocity-odekakemuma-seimei-kaji/latest.zip,ok,25731,fd02c59d911b3d401c059f16d2096f24e81c63ae89ef1596d90e1d3656cfed6d,completed,1,55,0.0,8096,completed,0,338,4,3.98,319248,0.344544628
63,jbda-hashikamitown-hashikamibus,階上町,JP,https://files.mobilitydatabase.org/jbda-hashikamitown-hashikamibus/latest.zip,ok,129953,7c1ed90e5df930853233748c6c38279bc9672ff4453de4e6df4036053aed31cd,completed,1,76,0.02,9608,completed,0,1443,3,3.04,335172,0.583141109
64,jbda-hashimacity-HashimaCityCommunityBus,羽島市,JP,https://files.mobilitydatabase.org/jbda-hashimacity-HashimaCityCommunityBus/latest.zip,ok,53710,d8f4959596ff57c814a31887fa8bf92db8130699dd03853514d15d4e58fe9851,completed,1,202,0.01,9404,completed,0,2286,5,5.49,337936,0.655444425
65,jbda-hayashimatown-hayashimatowncommunitybus,早島町,JP,https://files.mobilitydatabase.org/jbda-hayashimatown-hayashimatowncommunitybus/latest.zip,ok,14459,0d5fc22de61302088440a4f4513eb23a9b3e5e2c8887f791aa4b379b90df1c84,completed,1,84,0.0,8044,completed,0,1022,5,6.01,340720,0.509135496
66,jbda-hekinancity-kurukuru-bus,碧南市,JP,https://files.mobilitydatabase.org/jbda-hekinancity-kurukuru-bus/latest.zip,ok,25849,4b44ec52f275a9dbbe753bc1a928b47d11eb633da8b23fe9653f2bee1a57db31,completed,1,117,0.01,9436,completed,0,1584,5,3.65,321580,0.297451039
67,jbda-hichisotown-choeibus,七宗町,JP,https://files.mobilitydatabase.org/jbda-hichisotown-choeibus/latest.zip,ok,16747,2047e7b3c4c7e5072bf06339ce76ae629d40cffaab7a5e250e3b779d8ba8aaea,completed,1,94,0.0,8300,completed,0,1549,5,5.22,341916,0.489567448
68,jbda-hidacity-communitybus,飛騨市,JP,https://files.mobilitydatabase.org/jbda-hidacity-communitybus/latest.zip,ok,464515,b3433f4256115f3c529d7d293746ec2dbc26949a3c92ff87fa5dae4b65e45f00,completed,1,309,0.08,22808,completed,0,3014,6,4.44,386308,0.819755631
69,jbda-higashimiyoshitown-higashimiyoshitownbus,東みよし町,JP,https://files.mobilitydatabase.org/jbda-higashimiyoshitown-higashimiyoshitownbus/latest.zip,ok,33010,ea2e70bdbc0d25c1367fdc8aade6d9cf9c7154133eebebcb1a915fc615d05515,completed,1,59,0.01,9528,completed,0,567,6,4.53,320920,0.558371473
70,jbda-higashinecity-HigashineCity,東根市,JP,https://files.mobilitydatabase.org/jbda-higashinecity-HigashineCity/latest.zip,ok,13319,965c91a010b7117dc9d941ce0a9a701640cb780fc4969f6c92140fe5fe833a07,completed,1,116,0.0,8208,completed,0,568,5,6.44,322340,0.496944685
71,jbda-higashiomicity-higasiohmisicommunitybus,東近江市,JP,https://files.mobilitydatabase.org/jbda-higashiomicity-higasiohmisicommunitybus/latest.zip,ok,213618,31fbe8f69adf7ab11770e403f71201bdd4bbecb438d4abe0c59865e601c9a0e8,completed,1,263,0.05,14024,completed,0,4748,7,6.24,331980,0.988486363
72,jbda-higashiuratown-communitybus,東浦町,JP,https://files.mobilitydatabase.org/jbda-higashiuratown-communitybus/latest.zip,ok,60017,23983c7dfc3a9db7b2fb3e5d717509087132f4ad02892a6acde275076c0798d4,completed,1,180,0.02,10060,completed,0,2032,5,6.61,330004,0.665778298
73,jbda-himejicity-ieshima-boze-yukihiko,姫路市,JP,https://files.mobilitydatabase.org/jbda-himejicity-ieshima-boze-yukihiko/latest.zip,ok,90605,5421e6a9e7c71dcf602bcf027b4dfccb23cc5251a3f7e500917575b51eedd50a,completed,1,96,0.01,9188,completed,0,1423,3,5.75,332620,0.66300535
74,jbda-hiradocity-fureaibus,平戸市,JP,https://files.mobilitydatabase.org/jbda-hiradocity-fureaibus/latest.zip,ok,151264,6c3b15b9c7df8686daaf055e6af59e3463a815d45f305d190b9d62aadb21de59,completed,1,109,0.02,10552,completed,0,1570,4,3.81,337084,0.401127875
75,jbda-hirakawacity-hirakawa-sharedtaxi,平川市,JP,https://files.mobilitydatabase.org/jbda-hirakawacity-hirakawa-sharedtaxi/latest.zip,ok,17748,67a451d8f0e0615c2e3892e065ad71545c4c4aa8f2ece0060cb3b1c3100f4ee3,completed,1,50,0.0,7920,completed,0,89,6,5.81,334428,0.469097876
76,jbda-hirakawacity-hirakwacitybus,平川市,JP,https://files.mobilitydatabase.org/jbda-hirakawacity-hirakwacitybus/latest.zip,ok,12420,bd1f9ff3d2e3830854cff9d25c7d9d2f98a6cb40a53a4846c1bc5e35778b40ba,completed,1,41,0.0,7688,completed,0,83,5,5.93,267944,0.4281823
77,jbda-hiranaitown-hiranaitownbus,平内町,JP,https://files.mobilitydatabase.org/jbda-hiranaitown-hiranaitownbus/latest.zip,ok,165986,8e63d06330a50faa75eb9d285079643d6db9022c6592f800a76e2e1914686aca,completed,1,144,0.06,20364,completed,0,1742,5,6.4,293656,0.821661916
78,jbda-hirosakicity-hokusei-noriai,弘前市,JP,https://files.mobilitydatabase.org/jbda-hirosakicity-hokusei-noriai/latest.zip,ok,44656,c6b704f535c333c7dc9567f8c35ed7ab8351027c651cf05fce18ed3115505a8f,completed,1,678,0.02,15940,completed,0,3109,9,6.21,331140,0.635781282
79,jbda-hirosakicity-kounan-tetsudou,弘前市,JP,https://files.mobilitydatabase.org/jbda-hirosakicity-kounan-tetsudou/latest.zip,ok,17900,78eb16254492ccf70793f982660d139208b655f42e2add42e3d1f1cf9ebf2be9,completed,1,136,0.0,9276,completed,0,3210,8,3.89,347048,0.307552441
80,jbda-hisayamatown-HisayamaIkoBus,久山町,JP,https://files.mobilitydatabase.org/jbda-hisayamatown-HisayamaIkoBus/latest.zip,ok,140509,0be3b2fd79732e6a285c9ae7cd63d7632fd35ac0f12a0a05e111c1fec625b2b3,completed,1,96,0.03,10084,completed,0,13012,4,6.85,396928,0.952018948
81,jbda-hokushin-bus-hokushinbus,北振バス株式会社,JP,https://files.mobilitydatabase.org/jbda-hokushin-bus-hokushinbus/latest.zip,ok,252137,0615e02db471b821660888b80b5fce20f39eddd5176fe12fc32c59ef6fe8241b,completed,1,380,0.07,27304,completed,0,18873,2,6.41,529288,0.951225872
82,jbda-hokushin-bus-ibaraaiaibus,北振バス株式会社,JP,https://files.mobilitydatabase.org/jbda-hokushin-bus-ibaraaiaibus/latest.zip,ok,179297,8db2f08a96465f08b82ae6e8b7ec8189f4b3d02b61fbd2f050bed5645c302740,completed,1,191,0.04,18000,completed,0,9951,1,7.05,338184,0.85216479
83,jbda-hyogo-kamikawatown-communitybus,神河町,JP,https://files.mobilitydatabase.org/jbda-hyogo-kamikawatown-communitybus/latest.zip,ok,33316,19ffd8c5a5bfca79c49c779f6d851542f6511e172e0d86dc362539427566f8bc,completed,1,114,0.01,9128,completed,0,3531,5,2.67,338216,0.448877038
84,jbda-hyogo-ono-ranranbus,小野市,JP,https://files.mobilitydatabase.org/jbda-hyogo-ono-ranranbus/latest.zip,ok,33373,f2a3a987a8afc31218a5a783fe942d40bd3e274653e2db837cafc5a8119dcef3,completed,1,148,0.01,9476,completed,0,2690,6,5.7,297880,0.546059768
85,jbda-ibigawatown-communitybus,揖斐川町,JP,https://files.mobilitydatabase.org/jbda-ibigawatown-communitybus/latest.zip,ok,31270,0287792f4d1f75a470314cdb903ad7c8762a5a5dc9a14902cac2ea7623248a80,completed,1,250,0.01,9512,completed,0,2428,5,7.0,353596,0.623681279
86,jbda-ichikawamisatotown-ichikawamisatobus,市川三郷町,JP,https://files.mobilitydatabase.org/jbda-ichikawamisatotown-ichikawamisatobus/latest.zip,ok,9967,cd5e9ce28567b56312f71d3abb4f705bc6d487ccdbf074f0436bfe4fb972de0b,completed,1,76,0.0,7904,completed,0,663,4,6.26,328020,0.481151485
87,jbda-ichikawatown-communitybus,市川町,JP,https://files.mobilitydatabase.org/jbda-ichikawatown-communitybus/latest.zip,ok,176936,d0d051e47916d607d6abcffd7b381e3e6918c3199f5fcc99303b256355737679,completed,1,47,0.01,9632,completed,0,569,4,4.08,324728,0.428361576
88,jbda-ichinosekicity-Ichinosekibus,一関市,JP,https://files.mobilitydatabase.org/jbda-ichinosekicity-Ichinosekibus/latest.zip,ok,115004,2022bd151f8782940b7eab23532f1ec2f55e2b3eec4a3e6dde704309977db197,completed,1,591,0.07,15068,completed,0,8364,7,6.59,364760,0.719299819
